LID,ARTIST,EN_TITLE,KR_TITLE,GENRE,IS_OFFICIAL,URL
155,brian joo,bullet,,k-pop,1.0,
156,brian joo,domino,,k-pop,1.0,
157,brian joo,pretty woman,,k-pop,1.0,
158,brian joo,it's over now,,k-pop,1.0,
159,brian joo,tears run dry,눈물이 마르면,k-pop,1.0,
160,brian joo,all I know,검은 눈물,k-pop,1.0,
161,"BoA, WENDY, NINGNING",Time After Time,,k-pop,0.0,https://youtu.be/wLWh3LKaJ-g
162,megamax,painted love,,k-pop,1.0,
163,mustb,muffin christmas,,k-pop,1.0,
164,Royal Pirates,Shout out,,k-pop,1.0,
165,go woon,now i'm okay,,k-pop,1.0,
166,BoA,not over you,,k-pop,0.0,https://youtu.be/KLLLFuYNkdM
167,Jungsu,broken,,k-pop,1.0,
168,Jungsu,from now on,,k-pop,1.0,
169,tiffany Young,heartbreak hotel,,k-pop,1.0,
170,jessica,dancing on the moon,,k-pop,1.0,
171,dreamcatcher,tension,,k-pop,1.0,
172,jessica,world of dreams,,k-pop,1.0,
173,red velvet,bad boy,,k-pop,1.0,
174,nct 127,regular,,k-pop,1.0,
175,nct u,make a wish,,k-pop,1.0,
176,day6,zombie,,k-pop,1.0,
177,day6,you were beautiful,넌 예뻤어,k-pop,1.0,
178,god7,lullaby,,k-pop,1.0,
179,aespa,life's too short,,k-pop,1.0,
180,henry lau,monster,,k-pop,1.0,
181,d.o.,rose,,k-pop,1.0,
182,wonho,open mind,,k-pop,1.0,*
183,eric nam,run away,,k-pop,1.0,
184,itzy,sneakers,,k-pop,1.0,
185,wonho,lose,,k-pop,1.0,*
186,park bo gum,all my love,,k-pop,1.0,
187,henry lau,trap,,k-pop,1.0,
188,roy kim,egoist,이기주의보,k-pop,1.0,
189,wonho,blue,,k-pop,1.0,
190,sophiya,for the record,,k-pop,1.0,
191,oneus,shut up 받고 crazy hot,,k-pop,1.0,
192,tan,du du du,,k-pop,1.0,
193,bumzu,just,,k-pop,1.0,
194,to1,son of beast,,k-pop,1.0,
195,McKay,You will never know,,k-pop,1.0,
196,Jay park,count on me,,k-pop,1.0,*
197,Song Ji Eun,Tell Me,,k-pop,1.0,
198,oneus,bring it on,,k-pop,1.0,
199,nct dream,beatbox,,k-pop,1.0,
200,Tiffany Young,I just wanna dance,,k-pop,1.0,
201,Amber Liu,Heartbeat,,k-pop,1.0,
202,Jessica,Celebrate,,k-pop,1.0,
203,Bernard Park,Sleep Mode,,k-pop,1.0,
204,TO1,No more X,,k-pop,1.0,
205,Super Junior D&E,zero,,k-pop,1.0,
206,Yu Jei,Alone,그런 내사람,k-pop,1.0,
207,Ailee,Believe,,k-pop,1.0,
208,Amber Liu,Beautiful,,k-pop,1.0,
209,Jay Chang,Is You,,k-pop,1.0,
210,Oh My Girl,Etolie,,k-pop,1.0,
211,Jehwi,Looks like a real thing,,k-pop,1.0,*
212,Dmeanor,Why do we,,k-pop,1.0,
213,Rania,start a fire,,k-pop,1.0,
214,woohyo,papercut,,k-pop,1.0,
215,oneus,same scent,,k-pop,1.0,*
216,bumky,dancing on glass,,k-pop,1.0,
217,royal pirates,you,,k-pop,1.0,
218,royal pirates,fly to you,,k-pop,1.0,*
219,victon,chronograph,,k-pop,1.0,
220,f(x),4 walls,,k-pop,0.0,https://youtu.be/TrGKZ5h-4ZI
221,Raon,Promise,,k-pop,1.0,
222,esna,some,,k-pop,1.0,
223,holland,ocean like me,,k-pop,1.0,
224,the barberettes,summer love,,k-pop,1.0,
225,chocolat,I like it,,k-pop,1.0,
226,Jinusean,Celebrate,,k-pop,1.0,
227,babylon,one more night,,k-pop,1.0,
228,tan,louder,,k-pop,1.0,
229,tan,walking on the moon,,k-pop,1.0,
230,t-ara,sugar free,,k-pop,1.0,
231,nature,girls,,k-pop,1.0,
232,sophiya,therapy,,k-pop,1.0,
233,jessica,love me the same,,k-pop,1.0,
234,megan lee,8dayz,,k-pop,1.0,
235,esna,could we fall in love again,우린 다시 사랑할 수 있을까,k-pop,1.0,
236,jero,today,,k-pop,1.0,
237,Royal Pirates,Drawing the line,,k-pop,1.0,
238,esna,gentleman,,k-pop,1.0,
239,absix,savior,,k-pop,1.0,*
240,lunch,bad bye,,k-pop,1.0,
241,esna,a little lovin,,k-pop,1.0,
242,junny,not about you,,k-pop,1.0,
243,esna,attention,,k-pop,1.0,
244,jehwi,bird,,k-pop,1.0,
245,esna,"me, today",,k-pop,1.0,
246,esna,"I, I love you",,k-pop,1.0,
247,BoA,Who Are You,,k-pop,0.0,https://youtu.be/WB1b_JYhbgM
248,kevin oh,pieces of you,,k-pop,1.0,
249,kai,This is the moment,,k-pop,1.0,
250,boa,girls on top,,k-pop,1.0,
251,f(x),red light,,k-pop,0.0,https://youtu.be/ZEBnJepdaUY
252,kim bohyung,our story,,k-pop,1.0,
253,cupid,fifty fifty,,k-pop,1.0,
254,bts,hold me tight,,k-pop,0.0,https://youtu.be/8kUTakuW8gQ
255,f(x),rum pum pum pum(첫사랑니),,k-pop,0.0,https://youtu.be/wyx5HGnEVt8
256,jessica,falling crazy in love,,k-pop,1.0,
257,f(x),airplane,,k-pop,0.0,https://malloriemusic.blogspot.com/2015/02/fx-airplane.html
258,jessica,one more christmas,,k-pop,1.0,
259,jessica,golden sky,,k-pop,1.0,
260,las,runaway,,k-pop,1.0,
261,f(x),그림자,,k-pop,0.0,https://youtu.be/Om7tRStsgj4
262,wildberry,youniverse,너란 우주 안에서,k-pop,1.0,
263,twice,love line,,k-pop,0.0,https://youtu.be/OZHaDGOLMDw
264,boa,the lights of seoul,,k-pop,1.0,
265,viviz,pull up,,k-pop,0.0,https://youtu.be/QQZN2r9cxjk
266,lena park,constellations,이름을 잃은 별을 이어서,k-pop,1.0,
267,safira k,under the lonely sky,하늘 아래 그대와,k-pop,1.0,
268,twice,three times a day,,k-pop,1.0,
269,f(x),Pinocchio (Danger),,k-pop,0.0,https://youtu.be/qfhDvAs4l8Q
270,twice,only you,,k-pop,1.0,
271,twice,yes or yes,,k-pop,0.0,https://youtu.be/giEYdB5F7qI
272,f(x),all mine,,k-pop,0.0,https://youtu.be/c90OAYeQz3E
273,seventeen,rocket,,k-pop,1.0,
274,gummy,you are my everything,,k-pop,1.0,
275,alexa,revolution,,k-pop,1.0,
276,ace,cactus,,k-pop,1.0,
277,SF9,enough,예뻐지지마,k-pop,1.0,*
278,twice,set me free,,k-pop,1.0,
279,TRI.BE,WE ARE YOUNG,,k-pop,0.0,https://www.youtube.com/watch?v=U60QboJXHGk
280,brave girls,chi mat ba ram,,k-pop,1.0,
281,ailee,lose myself to you,,k-pop,1.0,
282,omega x,love me like,,k-pop,1.0,
283,big bang,together forever,눈물뿐인 바보,k-pop,1.0,*
284,rain,love song,널 붙잡을 노래,k-pop,1.0,
285,ailee,new ego,,k-pop,1.0,
286,ailee,beautiful disaster,,k-pop,1.0,
287,omega x,comfort,쉬어가도 돼,k-pop,1.0,
288,elan,runaway,,k-pop,1.0,
289,EXO,love shot,,k-pop,0.0,https://youtu.be/_s3xO3l_z2g
290,big bang,remember,,k-pop,1.0,
291,rania,masquerade,,k-pop,1.0,
292,rania,dr. feel good,,k-pop,1.0,
293,cnblue,control,,k-pop,1.0,
294,rania,just go,,k-pop,1.0,
295,aliee,bling,,k-pop,1.0,
296,aliee,my lips,,k-pop,1.0,
297,aliee,#mcm,,k-pop,1.0,
298,aliee,tattoo,,k-pop,1.0,
299,aliee,525,,k-pop,1.0,
300,aliee,what if I,,k-pop,1.0,
